year,date,title,author,level,google_drive_id,filename
2018-19,2018-12-21,USACO Review,SCT Officers,Advanced,,2018_12_21_USACO_Review.pdf
2018-19,2019-01-08,Monotonic Queues and USACO Review,Daniel Wisdom,Advanced,,2019_1_8_Monotonic_Queues_and_USACO_Review.pdf
2018-19,2019-02-11,Least Common Ancestor,Daniel Wisdom,Advanced,,2019_2_11_LCA.pdf
2018-19,2019-02-22,Minimum Spanning Tree,Jongwan Kim,Advanced,,2019_2_22_MST.pdf
2018-19,2019-03-08,February USACO Review,Daniel Wisdom,Advanced,,2019_3_8_February_USACO_Review.pdf
2018-19,2019-03-15,Heavy Light Decompostion,Daniel Wisdom,Advanced,,2019_3_15_HLD.pdf
2018-19,2019-03-22,Splay Trees,George Tang,Advanced,,2019_03_22_Splay_Trees.pdf
2018-19,2019-03-29,Suffix Arrays and Longest Common Prefix,Daniel Wisdom,Advanced,,2019_03_29_Suffix_Arrays_and_LCP.pdf
,,,,,,
2019-20,2019-09-20,Orientation,SCT Officers,All,,2019_09_20_Orientation.pdf
2019-20,2019-10-04,Complexity and C++,Neeyanth Kopparapu,Intermediate,,2019_10_04_Complexity_and_C__.pdf
2019-20,2019-10-04,Complexity and Knapsack DP,Patrick Zhang,Advanced,,2019_10_04_Complexity_and_Knapsack_DP.pdf
2019-20,2019-10-11,Searches,Havish Malladi,Intermediate,,2019_10_11_Searches.pdf
2019-20,2019-10-11,More Advanced DP,Patrick Zhang,Advanced,,2019_10_11_More_Advanced_DP.pdf
2019-20,2019-10-18,Union Find and MST,Neeyanth Kopparapu,Intermediate,,2019_10_18_Union_Find_and_MST.pdf
2019-20,2019-10-18,Graph Theory,Richard Zhan,Advanced,,2019_10_18_Graph_Theory.pdf
2019-20,2019-10-25,Dynamic Programming,Patrick Zhang,Intermediate,,2019_10_25_Knapsack_DP.pdf
2019-20,2019-10-25,Lowest Common Ancestor,Richard Zhan,Advanced,,2019_10_25_LCA.pdf
2019-20,2019-11-01,Strongly Connected Components,Neeyanth Kopparapu,Intermediate,,2019_11_01_Strongly_Connected_Components.pdf
2019-20,2019-11-01,Binary Index Trees,Patrick Zhang,Advanced,,2019_11_01_Binary_Index_Trees.pdf
2019-20,2019-11-15,Trees,Havish Malladi,Intermediate,,2019_11_15_Trees.pdf
2019-20,2019-11-15,Segment Trees,Richard Zhan,Advanced,,2019_11_15_Segment_Trees.pdf
2019-20,2019-11-22,Computational Geometry,Richard Zhan,Advanced,,2019_11_22_Computational_Geometry.pdf
2019-20,2019-12-05,USACO Silver and Gold Review,Neeyanth Kopparapu and Patrick Zhang,All,,2019_12_5_USACO_Silver_and_Gold_Review.pdf
2019-20,2019-12-19,December Gold Review,"Josh Zhang, Pranav Mathur, Ray Bai",All,,2019_12_19_Gold_Review.pdf
2019-20,2020-01-10,December Platinum Review,Ray Bai and Danny Mittal,All,,2020_1_10_Plat_Review.pdf
2019-20,2020-01-17,Heavy Light Decomposition,Pranav Mathur,All,,2020_1_17_HLD.pdf
2019-20,2020-02-07,Rolling Hash,Danny Mittal,Intermediate,,2020_2_7_Rolling_Hash.pdf
2019-20,2020-02-07,January Platinum Review,"Ray Bai, Helena Liu",Advanced,,2020_2_7_Plat_Review.pdf
2019-20,2020-02-21,Monotonic Queues,Sarah Zhang,All,,2020_2_21_Monotonic_Queues.pdf
2019-20,2020-03-06,Bitmask Dynamic Programming,Helena Liu,All,,2020_3_6_Bitmask_DP.pdf
2019-20,2020-04-30,Advanced String Algorithms,Spandan Das,All,,2020_4_30_String_Algorithms.pdf
2019-20,2020-04-30,RMQ with Fischer-Heun,Stephen Huan,All,,2020_4_30_RMQ.pdf
2019-20,2020-04-30,Flow,Udbhav Muthakana,All,,2020_4_30_Flow.pdf
,,,,,,
2020-21,2020-10-02,Orientation,SCT Officers,All,,2020_10_02_Orientation.pdf
2020-21,2020-10-09,Standard Data Structures: Sets and Maps,ICT and SCT Officers,Beginner,,2020_10_09_SCT_Sets_and_Maps.pdf
2020-21,2020-10-23,FFT and 2D Convolutions,Stephen Huan,Advanced,,2020_10_23_FFT.pdf
2020-21,2020-10-23,FFT and 2D Convolutions (handout),Stephen Huan,Advanced,,2020_10_23_FFT_handout.pdf
2020-21,2020-10-23,FFT and 2D Convolutions (presentation),Stephen Huan,Advanced,,2020_10_23_FFT_presentation.pdf
2020-21,2020-10-23,Ad Hoc Questions,Justin Choi,Beginner,,2020_10_23_SCT_Ad_Hoc.pdf
2020-21,2020-10-30,"Graph Theory, BFS+DFS, Shortest Path",Pranav Mathur,Beginner,,2020_10_30_Graph_Theory.pdf
2020-21,2020-12-04,Binary Indexed Trees,Aarav Bajaj,Advanced,,2020_12_04_Binary_Indexed_Trees.pdf
2020-21,2020-12-11,Introduction to Dynamic Programming,Pranav Mathur,Intermediate,,2020_12_11_Introduction_DP.pdf
2020-21,2020-12-11,Greedy Algorithms,Justin Choi,Beginner,,2020_12_11_Greedy.pdf
2020-21,2021-01-15,USACO December Gold Review,"Pranav Mathur, Andrew Wang, Daniel Zeng",Intermediate,,2021_01_15_December_USACO_Review.pdf
2020-21,2021-02-12,SCT Modulo Math,Andrew Wang,Guest lecture,,2021_02_12_SCT_Modular_Math.pdf
2020-21,2021-03-05,Range minimum Queries / LCA,Kevin Shan,Guest lecture,,2021_03_05_LCA.odp
2020-21,2021-03-12,Linear Programming,Alvan Caleb Arulandu,Guest lecture,,2021_03_12_Linear_Programming.pdf
2020-21,2021-03-26,Computational Geometry,"Alvan Caleb Arulandu, Sameer Gabbita",Guest lecture,,2021_03_26_Computational_Geometry.pdf
2020-21,2021-04-16,Network Flow,Mikhail Mints,Guest lecture,,2021_04_16_Network_Flow.pdf
,,,,,,
Standard,000,Orientation,,All,,2019_09_20_Orientation.pdf
Standard,010,Programming Contests,,Beginner,,2017-09-18_Beginners_1:_Contest_Programming_Intro.pdf
Standard,020,Programming Languages,,Beginner,,2016-12-08_Programming_Language_Tips.pdf
Standard,030,Sample I/O,,Beginner,,SCT_Sample_IO.pdf
Standard,100,Complexity and Elementary Algorithms,,Beginner,,2018_09_21_Elementary_Algorithms.pdf
Standard,110,Binary Search,,Beginner,,2017-11-10_Binary_Search.pdf
Standard,200,"Lists, Stacks, Queues, Sets, Maps",,Beginner,,2020_10_09_SCT_Sets_and_Maps.pdf
Standard,210,"Trees, Binary Search Trees",,Intermediate,,2019_11_15_Trees.pdf
Standard,220,Monotonic Queue,,Intermediate,,my own lecture
Standard,230,Disjoint-Set (Union-Find) and Minimum Spanning Tree (MST),,Intermediate,,2019_10_18_Union_Find_and_MST.pdf
Standard,240,Binary Indexed Trees (Fenwick Trees),,Advanced,,2019_11_01_Binary_Index_Trees.pdf
Standard,250,Segment Trees and Lazy Propagation,,Advanced,,2019_11_15_Segment_Trees.pdf
Standard,260,Heavy-light Decomposition,,Advanced,,2020_1_17_HLD.pdf
Standard,300,Dynamic Programming (DP),,Intermediate,,2017-10-27_More_Dynamic_Programming.pdf
Standard,310,Knapsack DP,,Advanced,,2019_10_25_Knapsack_DP.pdf
Standard,320,Bitmask DP,,Advanced,,2016-12-02_Advanced_Dynamic_Programming.pdf
Standard,350,Greedy Algorithms,,Intermediate,,Greedy_Bronze_Lecture.pdf
Standard,400,"Graph Theory, BFS+DFS, Shortest Path",,Beginner,,2019_10_18_Graph_Theory.pdf
Standard,415,Iterative Post-order DFS and Topological Sort,,Intermediate,,2016-10-21_Recursion_and_DFS.pdf
Standard,420,Lowest Common Ancestor,,Advanced,,2019_10_25_LCA.pdf
Standard,430,Connected Components and Strongly Connected Components,,Advanced,,2019_11_01_Strongly_Connected_Components.pdf
Standard,700,Line Sweep and Convex Hull,,Advanced,,2019_11_22_Computational_Geometry.pdf
