year,date,title,author,level,google_drive_id,filename
2011-12,2011-11-18,String Manipulation Tricks,Alex Chen,,0B84cCW3wbL7fakYwUEJGV191Y28,strings111811.pdf
2011-12,,Useful Algorithms and Programming Techniques,Billy Moses,,0B84cCW3wbL7fQ3pIcFRndDN6UW8,UsefulAlgorithmsAndProgrammingTechniques-2.pdf
2011-12,2011-12-02,DP Techniques,Alex Chen,,0B84cCW3wbL7fN09CWDRZdzhkbUk,moredp.pdf
2011-12,2012-01-27,Ad Hoc and Bronze Practice,Alex Chen,,0B84cCW3wbL7fSGo2ZG1HcDI0VjA,adhoc.pdf
2011-12,2012-01-27,Shortest Paths,Albert Gural,,0B84cCW3wbL7fWHJack5HUXM1dWc,shortest-paths.pdf
2011-12,2012-02-03,Bronze Challenge Problem,Alex Chen,,0B84cCW3wbL7fNjkxZE9WV3FhRGs,b_practice.pdf
2011-12,2012-02-10,Graph Theory Practice,Videh Seksaria,,0B84cCW3wbL7fbERKS3p3U3BqZXM,GraphProblems.pdf
2011-12,2012-02-17,Introduction to Computational Geometry,"Saketh Are, Albert Gural",,0B84cCW3wbL7feFUwRThBQUF1MjA,compgeo2.pdf
2011-12,2012-02-17,Intermediate Computational Geometry,Alex Chen,,0B84cCW3wbL7fSk13bzc1a2Y4ekk,compgeo.pdf
2011-12,2012-03-02,Dynamic Programming Practice,Albert Gural,,0B84cCW3wbL7fLXJKdmVZTE5HalE,dpalbert.pdf
2011-12,2012-03-02,Introduction to Network Flow,Alex Chen,,0B84cCW3wbL7fV1NmbFF5SXY1TEU,networkflow.pdf
2011-12,2012-03-04,Intermediate Data Structures,Saketh Are,Silver,0B84cCW3wbL7fVUtTVDVHUmNvUTQ,silver-data-struct.pdf
2011-12,2012-03-05,Binomial Heaps,Alex Chen,,0B84cCW3wbL7feWJUWUswY1JIUE0,binomheap.pdf
2011-12,2012-04-20,String Algorithms,Nick Haliday,,0B84cCW3wbL7fcWo3Zzk1M0gtems,string.pdf
2011-12,2012-04-24,Order and the Lack Thereof,Nick Haliday,,0B84cCW3wbL7fMk85cXFyMXFwYW8,order.pdf
,,,,,,
2012-13,2012-09-21,Intro to Senior Computer Team,Nick Haliday,,0B84cCW3wbL7fVmFkd2ZZcWNZZlk,intro.pdf
2012-13,2012-09-28,Computational Complexity,Owen Hoffman,,0B84cCW3wbL7fZXk5RjdWYXR5OUE,complexity_09_28_12.pdf
2012-13,2012-09-28,Binary Indexed Trees,"Nick Haliday, Ryan Jian",,0B84cCW3wbL7fMXpQY09jQnBsQjQ,bit_09_28_12.pdf
2012-13,2012-10-05,Sliding Window Maximum,Nick Haliday,,0B84cCW3wbL7fXzRZUmRjZEgxSVE,dphard.pdf
2012-13,2012-10-02,Even More Dynamic Programming,Ryan Jian,,0B84cCW3wbL7fNGlYemh1VGpfZlk,sct___Dynamic_Programming_Practice_1.pdf
2012-13,2012-10-12,DP Problem Set,Nick Haliday,,0B84cCW3wbL7fV0RlSTlmekh3RFk,DP_Problem_Set.pdf
2012-13,2012-10-25,Greedy Algorithms,"Nick Haliday, Owen Hoffman",Bronze,0B84cCW3wbL7fbnRFSVh2ZkNtT2c,Greedy_Bronze_Lecture.pdf
2012-13,,Cryptography,Yongkoo Kang,Guest lecture,0B84cCW3wbL7feG1KUlFhcmJoSmc,Cryptography_Guest.pdf
2012-13,2013-05-09,Fast Fourier Transform,Sreenath Are,Guest lecture,0B84cCW3wbL7fSUFqUlpiVUV3dmc,fft.pdf
,,,,,,
2013-14,2013-09-27,Introduction to Senior Computer Team,SCT Officers,,0B84cCW3wbL7fbnFtQm5ia2t6NEE,intro_to_sct_09_27_13.pdf
2013-14,2013-10-04,Basic Complexity Theory,Yongkoo Kang,,0B84cCW3wbL7fWDlFN3JRbjhINms,complexity_theory_10_04_13.pdf
2013-14,2013-10-04,Binary Indexed Trees (Part 1),"Ryan Jian, Sreenath Are",,0B84cCW3wbL7fWWRDSlhycjRRc00,binary_indexed_trees(part_1)_10_04_13.pdf
2013-14,2013-10-11,Flood Fill,Yongkoo Kang,,0B84cCW3wbL7fclNTVUoxdnFHUms,flood_fill_10_11_13.pdf
2013-14,2013-10-11,Binary Indexed Trees (Part 2),"Sreenath Are, Ryan Jian",,0B84cCW3wbL7faEZORXpLNjd5TnM,binary_indexed_trees(part_2)_29_10_11_13.pdf
2013-14,2013-10-18,Binary Search,"Ryan Jian, Sreenath Are",,0B84cCW3wbL7fbmtXZnRKM1JjeWs,binary_search_10_18_13.pdf
2013-14,2013-10-18,Graph Searching,Yongkoo Kang,,0B84cCW3wbL7fcGF3d0o5OGNESTg,graph_searching_10_18_13.pdf
2013-14,2013-11-01,Dijkstra's Algorithm,"Ryan Jian, Yongkoo Kang",,0B84cCW3wbL7fUEtTNk9qTFdkenc,dijkstra_10_30_13.pdf
2013-14,2013-11-01,String Matching,Sreenath Are,,0B84cCW3wbL7fc19FSDh3WXREM2s,string_matching_11_01_13.pdf
2013-14,2013-11-08,Introduction to Dynamic Programming,Ryan Jian,,0B84cCW3wbL7fYnd5SzAwMkx2cUk,intro_dp_11_08_13.pdf
2013-14,2013-11-15,Contest Strategy,Ryan Jian,,0B84cCW3wbL7fcldYSmVoWTZxNGs,contest_strategy_11_15_13.pdf
2013-14,2013-11-15,Computational Geometry,"Yongkoo Kang, Ryan Jian",,0B84cCW3wbL7fcmFKZi1KTDFaY1U,intro_comp_geo_12_06_13.pdf
2013-14,2013-12-06,Impartial Games,Sreenath Are,,0B84cCW3wbL7fX0pJM3FVNmg2OW8,impartial_games_12_06_13.pdf
